Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Imp Vol","20D His Vol"
$SPX|20210618|1550.00C,$SPX,"1,550.00",+63.40%,"2,682.10","2,684.00","2,685.90",0.00,0.00,unch,0,0,0.00,308.27%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|1575.00C,$SPX,"1,575.00",+62.81%,"2,657.10","2,658.95","2,660.80","1,602.90","1,602.90",unch,0,2,0.00,296.91%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|1600.00C,$SPX,"1,600.00",+62.22%,"2,632.10","2,633.95","2,635.80","2,636.98",536.33,+25.53%,2,4,0.50,292.34%,Call,4,06/18/21,06/10/21,12.18%,7.33%
$SPX|20210618|1625.00C,$SPX,"1,625.00",+61.63%,"2,607.10","2,608.95","2,610.80","1,555.50","1,555.50",unch,0,2,0.00,287.84%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|1650.00C,$SPX,"1,650.00",+61.04%,"2,582.20","2,584.10","2,586.00","1,531.50","1,531.50",unch,0,5,0.00,299.49%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|1675.00C,$SPX,"1,675.00",+60.45%,"2,557.20","2,558.90","2,560.60","1,511.40","1,511.40",unch,0,2,0.00,270.93%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|1700.00C,$SPX,"1,700.00",+59.86%,"2,532.30","2,534.05","2,535.80","1,483.70","1,483.70",unch,0,1,0.00,286.02%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|1725.00C,$SPX,"1,725.00",+59.26%,"2,507.30","2,509.05","2,510.80","1,405.32",69.58,+5.21%,1,1,1.00,281.63%,Call,4,06/18/21,07/02/20,12.18%,7.33%
$SPX|20210618|1750.00C,$SPX,"1,750.00",+58.67%,"2,482.30","2,484.10","2,485.90",0.00,0.00,unch,0,0,0.00,281.56%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|1775.00C,$SPX,"1,775.00",+58.08%,"2,457.30","2,459.05","2,460.80",0.00,0.00,unch,0,0,0.00,273.04%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|1800.00C,$SPX,"1,800.00",+57.49%,"2,432.30","2,434.05","2,435.80","2,153.90",461.35,+27.26%,4,10,0.40,268.84%,Call,4,06/18/21,03/18/21,12.18%,7.33%
$SPX|20210618|1825.00C,$SPX,"1,825.00",+56.90%,"2,407.30","2,409.05","2,410.80","2,375.52","1,351.21",+131.91%,1,2,0.50,264.69%,Call,4,06/18/21,06/02/21,12.18%,7.33%
$SPX|20210618|1850.00C,$SPX,"1,850.00",+56.31%,"2,381.80","2,383.85","2,385.90","2,290.00","1,015.32",+79.65%,1,2,0.50,231.78%,Call,4,06/18/21,04/14/21,12.18%,7.33%
$SPX|20210618|1875.00C,$SPX,"1,875.00",+55.72%,"2,357.20","2,359.15","2,361.10",0.00,0.00,unch,0,5,0.00,264.03%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|1900.00C,$SPX,"1,900.00",+55.13%,"2,332.20","2,333.95","2,335.70","1,802.34",30.35,+1.71%,1,2,0.50,242.48%,Call,4,06/18/21,12/17/20,12.18%,7.33%
$SPX|20210618|1925.00C,$SPX,"1,925.00",+54.54%,"2,307.20","2,308.95","2,310.70","1,228.80",302.81,+32.70%,8,8,1.00,238.69%,Call,4,06/18/21,06/23/20,12.18%,7.33%
$SPX|20210618|1950.00C,$SPX,"1,950.00",+53.95%,"2,282.20","2,283.95","2,285.70","1,206.79",504.29,+71.79%,8,18,0.44,234.94%,Call,4,06/18/21,06/23/20,12.18%,7.33%
$SPX|20210618|1975.00C,$SPX,"1,975.00",+53.36%,"2,257.20","2,258.95","2,260.70",0.00,0.00,unch,0,0,0.00,231.25%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2000.00C,$SPX,"2,000.00",+52.77%,"2,232.20","2,233.95","2,235.70","2,236.25",11.10,+0.50%,"1,150","86,941",0.01,227.60%,Call,4,06/18/21,06/10/21,12.18%,7.33%
$SPX|20210618|2025.00C,$SPX,"2,025.00",+52.18%,"2,206.80","2,208.85","2,210.90","2,116.64","1,517.89",+253.51%,1,1,1.00,207.17%,Call,4,06/18/21,05/20/21,12.18%,7.33%
$SPX|20210618|2050.00C,$SPX,"2,050.00",+51.59%,"2,181.80","2,183.85","2,185.90",0.00,0.00,unch,0,0,0.00,203.83%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2075.00C,$SPX,"2,075.00",+51.00%,"2,157.20","2,159.00","2,160.80","2,149.42",501.52,+30.43%,1,1,1.00,221.94%,Call,4,06/18/21,06/10/21,12.18%,7.33%
